SKU,Date,Sales,Price,DayOfWeek,Month,Year,EventName,EventType,SNAP,IsWeekend,IsEvent,Revenue
FOODS_2_019,2013-01-01,17,3.28,4,1,2013,NewYear,National,1,0,1,55.76
FOODS_2_019,2013-01-02,35,3.28,5,1,2013,No_Event,No_Event,1,0,0,114.8
FOODS_2_019,2013-01-03,33,3.28,6,1,2013,No_Event,No_Event,1,0,0,108.24
FOODS_2_019,2013-01-04,34,3.28,7,1,2013,No_Event,No_Event,1,0,0,111.52
FOODS_2_019,2013-01-05,26,3.28,1,1,2013,No_Event,No_Event,1,1,0,85.28
FOODS_2_019,2013-01-06,34,3.28,2,1,2013,No_Event,No_Event,1,1,0,111.52
FOODS_2_019,2013-01-07,29,3.28,3,1,2013,OrthodoxChristmas,Religious,1,0,1,95.11999999999999
FOODS_2_019,2013-01-08,40,3.28,4,1,2013,No_Event,No_Event,1,0,0,131.2
FOODS_2_019,2013-01-09,22,3.28,5,1,2013,No_Event,No_Event,1,0,0,72.16
FOODS_2_019,2013-01-10,23,3.28,6,1,2013,No_Event,No_Event,1,0,0,75.44
FOODS_2_019,2013-01-11,15,3.28,7,1,2013,No_Event,No_Event,0,0,0,49.199999999999996
FOODS_2_019,2013-01-12,23,3.28,1,1,2013,No_Event,No_Event,0,1,0,75.44
FOODS_2_019,2013-01-13,38,3.28,2,1,2013,No_Event,No_Event,0,1,0,124.63999999999999
FOODS_2_019,2013-01-14,17,3.28,3,1,2013,No_Event,No_Event,0,0,0,55.76
FOODS_2_019,2013-01-15,15,3.28,4,1,2013,No_Event,No_Event,0,0,0,49.199999999999996
FOODS_2_019,2013-01-16,17,3.28,5,1,2013,No_Event,No_Event,0,0,0,55.76
FOODS_2_019,2013-01-17,14,3.28,6,1,2013,No_Event,No_Event,0,0,0,45.919999999999995
FOODS_2_019,2013-01-18,17,3.28,7,1,2013,No_Event,No_Event,0,0,0,55.76
FOODS_2_019,2013-01-19,30,3.28,1,1,2013,No_Event,No_Event,0,1,0,98.39999999999999
FOODS_2_019,2013-01-20,29,3.28,2,1,2013,No_Event,No_Event,0,1,0,95.11999999999999
FOODS_2_019,2013-01-21,8,3.28,3,1,2013,MartinLutherKingDay,National,0,0,1,26.24
FOODS_2_019,2013-01-22,15,3.28,4,1,2013,No_Event,No_Event,0,0,0,49.199999999999996
FOODS_2_019,2013-01-23,16,3.28,5,1,2013,No_Event,No_Event,0,0,0,52.48
FOODS_2_019,2013-01-24,11,3.28,6,1,2013,No_Event,No_Event,0,0,0,36.08
FOODS_2_019,2013-01-25,18,3.28,7,1,2013,No_Event,No_Event,0,0,0,59.04
FOODS_2_019,2013-01-26,17,3.28,1,1,2013,No_Event,No_Event,0,1,0,55.76
FOODS_2_019,2013-01-27,36,3.28,2,1,2013,No_Event,No_Event,0,1,0,118.08
FOODS_2_019,2013-01-28,24,3.28,3,1,2013,No_Event,No_Event,0,0,0,78.72
FOODS_2_019,2013-01-29,8,3.28,4,1,2013,No_Event,No_Event,0,0,0,26.24
FOODS_2_019,2013-01-30,26,3.28,5,1,2013,No_Event,No_Event,0,0,0,85.28
FOODS_2_019,2013-01-31,25,3.28,6,1,2013,No_Event,No_Event,0,0,0,82.0
FOODS_2_019,2013-02-01,25,3.28,7,2,2013,No_Event,No_Event,1,0,0,82.0
FOODS_2_019,2013-02-02,24,3.28,1,2,2013,No_Event,No_Event,1,1,0,78.72
FOODS_2_019,2013-02-03,0,3.28,2,2,2013,SuperBowl,Sporting,1,1,1,0.0
FOODS_2_019,2013-02-04,0,3.28,3,2,2013,No_Event,No_Event,1,0,0,0.0
FOODS_2_019,2013-02-05,0,3.28,4,2,2013,No_Event,No_Event,1,0,0,0.0
FOODS_2_019,2013-02-06,0,3.28,5,2,2013,No_Event,No_Event,1,0,0,0.0
FOODS_2_019,2013-02-07,0,3.28,6,2,2013,No_Event,No_Event,1,0,0,0.0
FOODS_2_019,2013-02-08,0,3.28,7,2,2013,No_Event,No_Event,1,0,0,0.0
FOODS_2_019,2013-02-09,0,3.28,1,2,2013,No_Event,No_Event,1,1,0,0.0
FOODS_2_019,2013-02-10,33,3.28,2,2,2013,No_Event,No_Event,1,1,0,108.24
FOODS_2_019,2013-02-11,27,3.28,3,2,2013,No_Event,No_Event,0,0,0,88.55999999999999
FOODS_2_019,2013-02-12,35,3.28,4,2,2013,No_Event,No_Event,0,0,0,114.8
FOODS_2_019,2013-02-13,17,3.28,5,2,2013,LentStart,Religious,0,0,1,55.76
