SKU,TB Sales/ngày,Std Sales,Safety Stock,Reorder Point,Newsvendor q*
3_090,65.0,54.0,235.0,690.0,89.0
3_586,44.3,15.4,67.0,378.0,54.0
3_252,42.0,18.7,82.0,376.0,52.0
3_120,37.7,30.2,132.0,395.0,57.0
3_714,24.8,12.5,55.0,228.0,32.0
3_282,24.3,18.7,81.0,251.0,35.0
3_808,21.5,22.2,96.0,247.0,36.0
3_064,20.1,11.8,52.0,193.0,28.0
2_197,20.0,11.2,49.0,189.0,27.0
3_681,19.6,16.4,71.0,208.0,28.0
3_555,19.5,7.5,32.0,169.0,24.0
3_080,18.5,6.8,30.0,159.0,23.0
3_587,18.3,16.2,71.0,199.0,30.0
3_099,17.7,8.0,35.0,159.0,23.0
3_501,17.1,12.9,56.0,176.0,22.0
2_019,16.9,9.0,39.0,157.0,22.0
3_295,16.7,11.7,51.0,167.0,22.0
3_541,16.5,18.5,81.0,196.0,26.0
3_202,15.4,10.4,45.0,153.0,22.0
3_741,15.1,11.0,48.0,153.0,20.0
3_318,14.9,19.6,85.0,190.0,18.0
3_607,14.9,12.0,52.0,156.0,21.0
3_635,14.7,17.9,78.0,181.0,23.0
3_723,14.6,12.7,55.0,157.0,20.0
3_491,14.4,12.0,52.0,153.0,21.0
3_319,14.3,14.6,64.0,164.0,23.0
3_785,13.9,14.4,62.0,160.0,20.0
3_694,13.6,6.1,27.0,122.0,17.0
2_347,12.3,7.5,33.0,119.0,16.0
2_276,10.5,7.0,30.0,104.0,14.0
